ticker,question,fav_side,entry_cost,status,open_date,close_date,result,pnl
KXNBAMENTION-KXNBACUP-RETI,What will the announcers say during 25 Pro Basketball Cup?,NO,95,PENDING,2025-12-16 05:46:16.253344,2025-12-17 17:30:00.000000,,0
KXNBAMENTION-KXNBACUP-MVP,What will the announcers say during 25 Pro Basketball Cup?,YES,91,PENDING,2025-12-16 05:46:16.253344,2025-12-17 17:30:00.000000,,0
KXNBAMENTION-KXNBACUP-BUZZ,What will the announcers say during 25 Pro Basketball Cup?,NO,93,PENDING,2025-12-16 05:46:16.253344,2025-12-17 17:30:00.000000,,0
KXVLADTENEVMENTION-25DEC17-GOLD,What will Vladimir Tenev say during Robinhood keynote?,YES,86,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXVANCEMENTION-25DEC17-WORK,What will JD Vance say during remarks in Allentown Pennsylvania?,YES,83,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXVANCEMENTION-25DEC17-STOC,What will JD Vance say during remarks in Allentown Pennsylvania?,NO,83,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXVANCEMENTION-25DEC17-MANU,What will JD Vance say during remarks in Allentown Pennsylvania?,YES,91,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXVANCEMENTION-25DEC17-INFL,What will JD Vance say during remarks in Allentown Pennsylvania?,YES,88,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXVANCEMENTION-25DEC17-ECON,What will JD Vance say during remarks in Allentown Pennsylvania?,YES,83,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXVANCEMENTION-25DEC17-AFFO,What will JD Vance say during remarks in Allentown Pennsylvania?,YES,95,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXTRUMPMENTIONB-25DEC17-WATE,What will Donald Trump say during Hanukkah Reception on December 16?,NO,94,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXTRUMPMENTIONB-25DEC17-TRIL,What will Donald Trump say during Hanukkah Reception on December 16?,NO,80,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXTRUMPMENTIONB-25DEC17-ISRA,What will Donald Trump say during Hanukkah Reception on December 16?,YES,89,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXTRUMPMENTIONB-25DEC17-ICE,What will Donald Trump say during Hanukkah Reception on December 16?,NO,94,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXTRUMPMENTIONB-25DEC17-CRYP,What will Donald Trump say during Hanukkah Reception on December 16?,NO,95,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXHOWARDSTERNANNOUNCEMENT-25DEC16-25,"Will Howard Stern announce Retirement on The Howard Stern Show — December 16, 2025 broadcast before Dec 17, 2025",NO,93,PENDING,2025-12-16 05:46:16.253344,2025-12-17 15:00:00.000000,,0
KXLOWTAUS-25DEC16-B35.5,"Will the minimum temperature be  35-36° on Dec 16, 2025?",NO,90,PENDING,2025-12-16 05:46:16.253344,2025-12-17 08:12:49.496438,,0
KXHIGHLAX-25DEC16-B75.5,"Will the **high temp in LA** be 75-76° on Dec 16, 2025?",NO,97,PENDING,2025-12-16 05:46:16.253344,2025-12-17 07:59:00.000000,,0
KXHIGHLAX-25DEC16-B73.5,"Will the **high temp in LA** be 73-74° on Dec 16, 2025?",NO,96,PENDING,2025-12-16 05:46:16.253344,2025-12-17 07:59:00.000000,,0
KXHIGHLAX-25DEC16-B71.5,"Will the **high temp in LA** be 71-72° on Dec 16, 2025?",NO,86,PENDING,2025-12-16 05:46:16.253344,2025-12-17 07:59:00.000000,,0
KXHIGHDEN-25DEC16-B63.5,"Will the **high temp in Denver** be 63-64° on Dec 16, 2025?",NO,81,PENDING,2025-12-16 05:46:16.253344,2025-12-17 06:59:00.000000,,0
KXHIGHDEN-25DEC16-B61.5,"Will the **high temp in Denver** be 61-62° on Dec 16, 2025?",NO,93,PENDING,2025-12-16 05:46:16.253344,2025-12-17 06:59:00.000000,,0
KXHIGHCHI-25DEC16-T35,"Will the high temp in Chicago be <35° on Dec 16, 2025?",NO,93,PENDING,2025-12-16 05:46:16.253344,2025-12-17 05:59:00.000000,,0
KXHIGHCHI-25DEC16-B41.5,"Will the high temp in Chicago be 41-42° on Dec 16, 2025?",NO,92,PENDING,2025-12-16 05:46:16.253344,2025-12-17 05:59:00.000000,,0
KXHIGHCHI-25DEC16-B39.5,"Will the high temp in Chicago be 39-40° on Dec 16, 2025?",NO,82,PENDING,2025-12-16 05:46:16.253344,2025-12-17 05:59:00.000000,,0
KXHIGHAUS-25DEC16-T67,"Will the **high temp in Austin** be >67° on Dec 16, 2025?",NO,92,PENDING,2025-12-16 05:46:16.253344,2025-12-17 05:59:00.000000,,0
KXHIGHAUS-25DEC16-T60,"Will the **high temp in Austin** be <60° on Dec 16, 2025?",NO,82,PENDING,2025-12-16 05:46:16.253344,2025-12-17 05:59:00.000000,,0
KXHIGHAUS-25DEC16-B66.5,"Will the **high temp in Austin** be 66-67° on Dec 16, 2025?",NO,96,PENDING,2025-12-16 05:46:16.253344,2025-12-17 05:59:00.000000,,0
KXHIGHAUS-25DEC16-B64.5,"Will the **high temp in Austin** be 64-65° on Dec 16, 2025?",NO,88,PENDING,2025-12-16 05:46:16.253344,2025-12-17 05:59:00.000000,,0
KXSPOTIFYGLOBALD-25DEC16-THE,"Top Global Song on Spotify on Dec 16, 2025?",YES,90,PENDING,2025-12-16 05:46:16.253344,2025-12-17 04:59:00.000000,,0
